test,name,amount,size
lin,RadixTreeRedux,16,240
lin,RadixTreeRedux,32,368
lin,RadixTreeRedux,64,624
lin,RadixTreeRedux,128,1248
lin,RadixTreeRedux,256,2384
lin,RadixTreeRedux,512,4656
lin,RadixTreeRedux,1024,9200
lin,RadixTreeRedux,2048,18288
lin,RadixTreeRedux,4096,36576
lin,RadixTreeRedux,8192,73040
lin,RadixTreeRedux,16384,145968
lin,RadixTreeRedux,32768,291824
lin,RadixTreeRedux,65536,583536
lin,RadixTreeRedux,131072,1167072
lin,RadixTreeRedux,262144,2334032
lin,RadixTreeRedux,524288,4667952
lin,RadixTreeRedux,1048576,9335792
lin,RadixTreeRedux,2097152,18671472
lin,RadixTreeRedux,4194304,37342944
lin,RadixTreeRedux,8388608,74685776
lincumu,IntHamt16Java,1,184
lincumu,IntHamt16Java,2,328
lincumu,IntHamt16Java,4,656
lincumu,IntHamt16Java,8,1456
lincumu,IntHamt16Java,16,3632
lincumu,IntHamt16Java,32,10440
lincumu,IntHamt16Java,64,21576
lincumu,IntHamt16Java,128,46152
lincumu,IntHamt16Java,256,104520
lincumu,IntHamt16Java,512,260552
lincumu,IntHamt16Java,1024,532936
lincumu,IntHamt16Java,2048,1114568
lincumu,IntHamt16Java,4096,2425288
lincumu,IntHamt16Java,8192,5675464
lincumu,IntHamt16Java,16384,11540936
lincumu,IntHamt16Java,32768,23861704
lincumu,IntHamt16Java,65536,50862536
lincumu,IntHamt16Java,131072,114923976
lincumu,IntHamt16Java,262144,232888776
lincumu,IntHamt16Java,524288,478255560
lincumu,IntHamt16Java,1048576,1006737864
lincumu,IntHamt16Java,2097152,2224658888
lincumu,IntHamt16Java,4194304,4497971656
lincumu,IntHamt16Java,8388608,9195592136
lincumu,IntChamp32Kotlin,1,152
lincumu,IntChamp32Kotlin,2,296
lincumu,IntChamp32Kotlin,4,632
lincumu,IntChamp32Kotlin,8,1496
lincumu,IntChamp32Kotlin,16,3992
lincumu,IntChamp32Kotlin,32,12056
lincumu,IntChamp32Kotlin,64,30616
lincumu,IntChamp32Kotlin,128,61336
lincumu,IntChamp32Kotlin,256,128920
lincumu,IntChamp32Kotlin,512,288664
lincumu,IntChamp32Kotlin,1024,706456
lincumu,IntChamp32Kotlin,2048,1619864
lincumu,IntChamp32Kotlin,4096,3241880
lincumu,IntChamp32Kotlin,8192,6682520
lincumu,IntChamp32Kotlin,16384,14350232
lincumu,IntChamp32Kotlin,32768,32831384
lincumu,IntChamp32Kotlin,65536,72284056
lincumu,IntChamp32Kotlin,131072,144635800
lincumu,IntChamp32Kotlin,262144,295630744
lincumu,IntChamp32Kotlin,524288,622786456
lincumu,IntChamp32Kotlin,1048576,1377761176
lincumu,IntChamp32Kotlin,2097152,2967402392
lincumu,IntChamp32Kotlin,4194304,5936969624
lincumu,IntChamp32Kotlin,8388608,12077430680
lincumu,ClojureTreeMap,1,168
lincumu,ClojureTreeMap,2,352
lincumu,ClojureTreeMap,4,816
lincumu,ClojureTreeMap,8,2024
