test,name,amount,size
lincumu,Trie1j64,2097152,2848139160
lincumu,Trie1j64,4194304,5849163672
lincumu,Trie3,1,592
lincumu,Trie3,2,1144
lincumu,Trie3,4,2272
lincumu,Trie3,8,4624
lincumu,Trie3,16,9712
lincumu,Trie3,32,21424
lincumu,Trie3,64,47024
lincumu,Trie3,128,98992
lincumu,Trie3,256,206000
lincumu,Trie3,512,432304
lincumu,Trie3,1024,934064
lincumu,Trie3,2048,2007216
lincumu,Trie3,4096,4178096
lincumu,Trie3,8192,8618160
lincumu,Trie3,16384,17891504
lincumu,Trie3,32768,38011056
lincumu,Trie3,65536,80478384
lincumu,Trie3,131072,166199472
lincumu,Trie3,262144,340787376
lincumu,Trie3,524288,702546096
lincumu,Trie3,1048576,1476395184
lincumu,Trie3,2097152,3095396528
lincumu,Trie3,4194304,6358565040
lincumu,ClojureRrbMap,1,512
lincumu,ClojureRrbMap,2,648
lincumu,ClojureRrbMap,4,944
lincumu,ClojureRrbMap,8,1632
lincumu,ClojureRrbMap,16,3392
lincumu,ClojureRrbMap,32,8448
lincumu,ClojureRrbMap,64,16856
lincumu,ClojureRrbMap,128,33672
lincumu,ClojureRrbMap,256,67304
lincumu,ClojureRrbMap,512,134568
lincumu,ClojureRrbMap,1024,269096
lincumu,ClojureRrbMap,2048,547824
lincumu,ClojureRrbMap,4096,1105904
lincumu,ClojureRrbMap,8192,2222064
lincumu,ClojureRrbMap,16384,4454384
lincumu,ClojureRrbMap,32768,8919024
lincumu,ClojureRrbMap,65536,18167480
lincumu,ClojureRrbMap,131072,36665016
lincumu,ClojureRrbMap,262144,73660088
lincumu,ClojureRrbMap,524288,147650232
lincumu,ClojureRrbMap,1048576,295630520
lincumu,ClojureRrbMap,2097152,601814400
lincumu,ClojureRrbMap,4194304,1214182784
lincumu,ClojureRrbMap,8388608,2438919552
lincumu,Trie2,1,184
lincumu,Trie2,2,328
lincumu,Trie2,4,656
lincumu,Trie2,8,1456
lincumu,Trie2,16,3632
lincumu,Trie2,32,10288
lincumu,Trie2,64,28104
lincumu,Trie2,128,58568
lincumu,Trie2,256,124104
lincumu,Trie2,512,273608
lincumu,Trie2,1024,646344
lincumu,Trie2,2048,1535944
lincumu,Trie2,4096,3149768
lincumu,Trie2,8192,6524872
lincumu,Trie2,16384,13864904
lincumu,Trie2,32768,30904264
lincumu,Trie2,65536,69595080
lincumu,Trie2,131072,141684680
lincumu,Trie2,262144,290582472
lincumu,Trie2,524288,607252424
lincumu,Trie2,1048576,1316089800
lincumu,Trie2,2097152,2881351624
lincumu,Trie2,4194304,5842530248
lincumu,Trie2j64,1,184
lincumu,Trie2j64,2,328
lincumu,Trie2j64,4,656
lincumu,Trie2j64,8,1456
lincumu,Trie2j64,16,3632
lincumu,Trie2j64,32,10288
lincumu,Trie2j64,64,38344
lincumu,Trie2j64,128,80072
lincumu,Trie2j64,256,165064
lincumu,Trie2j64,512,341192
lincumu,Trie2j64,1024,718024
lincumu,Trie2j64,2048,1569992
lincumu,Trie2j64,4096,3921096
lincumu,Trie2j64,8192,8197320
lincumu,Trie2j64,16384,16848072
lincumu,Trie2j64,32768,34542792
lincumu,Trie2j64,65536,71505096
lincumu,Trie2j64,131072,151721160
lincumu,Trie2j64,262144,344134856
lincumu,Trie2j64,524288,709039304
lincumu,Trie2j64,1048576,1445139656
lincumu,Trie2j64,2097152,2942506184
lincumu,Trie2j64,4194304,6037902536
lincumu,PaguroRrbMap,1,208
lincumu,PaguroRrbMap,2,328
lincumu,PaguroRrbMap,4,592
lincumu,PaguroRrbMap,8,1216
lincumu,PaguroRrbMap,16,2848
lincumu,PaguroRrbMap,32,7648
lincumu,PaguroRrbMap,64,15224
lincumu,PaguroRrbMap,128,30528
lincumu,PaguroRrbMap,256,61232
lincumu,PaguroRrbMap,512,123024
lincumu,PaguroRrbMap,1024,248144
lincumu,PaguroRrbMap,2048,498824
lincumu,PaguroRrbMap,4096,1001080
lincumu,PaguroRrbMap,8192,2008664
lincumu,PaguroRrbMap,16384,4036120
lincumu,PaguroRrbMap,32768,8140184
lincumu,PaguroRrbMap,65536,16356688
lincumu,PaguroRrbMap,131072,32814400
lincumu,PaguroRrbMap,262144,65828128
lincumu,PaguroRrbMap,524288,132248800
lincumu,PaguroRrbMap,1048576,266663008
lincumu,PaguroRrbMap,2097152,535753752
lincumu,PaguroRrbMap,4194304,1074721800
lincumu,PaguroRrbMap,8388608,2155803624
lincumu,PaguroHashMap,1,288
lincumu,PaguroHashMap,2,472
lincumu,PaguroHashMap,4,888
lincumu,PaguroHashMap,8,1912
lincumu,PaguroHashMap,16,4728
lincumu,PaguroHashMap,32,14072
lincumu,PaguroHashMap,64,30456
lincumu,PaguroHashMap,128,64760
lincumu,PaguroHashMap,256,139512
lincumu,PaguroHashMap,512,313592
lincumu,PaguroHashMap,1024,780536
lincumu,PaguroHashMap,2048,1640696
lincumu,PaguroHashMap,4096,3410168
lincumu,PaguroHashMap,8192,7145720
lincumu,PaguroHashMap,16384,15403256
lincumu,PaguroHashMap,32768,35719416
lincumu,PaguroHashMap,65536,73992440
lincumu,PaguroHashMap,131072,152111352
lincumu,PaguroHashMap,262144,314640632
lincumu,PaguroHashMap,524288,664865016
lincumu,PaguroHashMap,1048576,1486948600
lincumu,PaguroHashMap,2097152,3055618296
lincumu,PaguroHashMap,4194304,6243289336
lincumu,ScalaHashMap,1,104
lincumu,ScalaHashMap,2,256
lincumu,ScalaHashMap,4,584
lincumu,ScalaHashMap,8,1336
lincumu,ScalaHashMap,16,3224
lincumu,ScalaHashMap,32,8816
lincumu,ScalaHashMap,64,22192
lincumu,ScalaHashMap,128,51408
lincumu,ScalaHashMap,256,116888
lincumu,ScalaHashMap,512,259008
lincumu,ScalaHashMap,1024,580920
lincumu,ScalaHashMap,2048,1308720
lincumu,ScalaHashMap,4096,2912328
lincumu,ScalaHashMap,8192,6276800
lincumu,ScalaHashMap,16384,13394416
lincumu,ScalaHashMap,32768,28760760
lincumu,ScalaHashMap,65536,62245496
lincumu,ScalaHashMap,131072,133711360
lincumu,ScalaHashMap,262144,282306016
lincumu,ScalaHashMap,524288,591811176
lincumu,ScalaHashMap,1048576,1247424432
lincumu,ScalaHashMap,2097152,2646325584
lincumu,ScalaHashMap,4194304,5587661896
lincumu,ScalaRrbMap,1,456
lincumu,ScalaRrbMap,2,864
lincumu,ScalaRrbMap,4,1680
lincumu,ScalaRrbMap,8,3312
lincumu,ScalaRrbMap,16,6576
lincumu,ScalaRrbMap,32,13104
lincumu,ScalaRrbMap,64,26440
lincumu,ScalaRrbMap,128,53112
lincumu,ScalaRrbMap,256,106456
lincumu,ScalaRrbMap,512,213144
lincumu,ScalaRrbMap,1024,426520
lincumu,ScalaRrbMap,2048,862512
lincumu,ScalaRrbMap,4096,1734496
lincumu,ScalaRrbMap,8192,3478464
lincumu,ScalaRrbMap,16384,6966400
lincumu,ScalaRrbMap,32768,13942272
